4000.122,61.55452722,64.35021467,58.35525887,60.03852304,62.13552898,56.57440564,58.29885161
3999.64,61.56870231,64.36058753,58.37272932,60.04958357,62.14268301,56.58743387,58.31630518
3999.158,61.58288066,64.37096207,58.38617169,60.0592632,62.15126893,56.60046511,58.33107765
3998.676,61.59422569,64.38282073,58.39558318,60.06756126,62.16128734,56.61089226,58.34182363
3998.194,61.60557281,64.39468158,58.40230661,60.0744772,62.17273893,56.62132134,58.3498844
3997.711,61.61692202,64.40506161,58.40634104,60.08277736,62.18562449,56.63175233,58.35525887
3997.229,61.62685429,64.41396011,58.41037575,60.09107868,62.19851271,56.64088102,58.35794629
3996.747,61.63536895,64.42137647,58.41172071,60.09938114,62.20997116,56.65131562,58.35929005
3996.265,61.64246539,64.42285984,58.4130657,60.10768475,62.21856638,56.65914283,58.35929005
3995.783,61.64672365,64.41989313,58.41172071,60.1146053,62.22286443,56.66436157,58.35660257
3995.301,61.64956265,64.41396011,58.41037575,60.11875802,62.22286443,56.66697112,58.35257158
3994.819,61.64956265,64.40802764,58.40768591,60.12291102,62.21999903,56.66697112,58.34854086
3994.337,61.6509822,64.40209571,58.40903081,60.12706431,62.21856638,56.66566633,58.34854086
3993.855,61.6538214,64.40209571,58.4130657,60.13398709,62.21999903,56.66697112,58.35257158
3993.372,61.65950019,64.40654461,58.42248154,60.14229548,62.22716278,56.67088567,58.36332151
3992.89,61.66801935,64.41396011,58.43728091,60.15476022,62.23862651,56.68002068,58.3781059
3992.408,61.67795986,64.42582669,58.45477592,60.16722754,62.25295913,56.69176784,58.39423859
3991.926,61.68648157,64.43769546,58.47227616,60.17969745,62.26872883,56.70351745,58.40903081
3991.444,61.6935839,64.44956642,58.48843488,60.18939805,62.28020021,56.71526949,58.41979114
3990.962,61.69784569,64.45847107,58.50055685,60.19632801,62.28880513,56.72310553,58.42382678
3990.48,61.70068705,64.46737695,58.50998678,60.20187255,62.29310804,56.7296364,58.42517205
3989.998,61.70352853,64.47628406,58.51807079,60.20603129,62.29454241,56.73486163,58.42517205
3989.516,61.71205378,64.48816213,58.52480832,60.21296317,62.29741124,56.74008734,58.42786269
3989.033,61.72484386,64.50152757,58.53424217,60.22405583,62.30171474,56.74792682,58.43593536
3988.551,61.7433231,64.5163813,58.54637363,60.23792453,62.31032264,56.75838114,58.44804645
3988.069,61.76323,64.52975259,58.55850761,60.25457118,62.32036668,56.77145174,58.46554468
3987.587,61.78172073,64.54312665,58.56929548,60.27122243,62.33328284,56.78452536,58.48439478
3987.105,61.79737106,64.55353061,58.5787365,60.28510199,62.34476611,56.79629418,58.50190389
3986.623,61.80733242,64.55947648,58.58548101,60.29481959,62.3562515,56.80806545,58.51672338
3986.141,61.81302535,64.56393625,58.58952809,60.3003732,62.36486693,56.81853085,58.52885121
3985.659,61.81302535,64.56690959,58.59087718,60.3031502,62.37061121,56.82899817,58.53558998
3985.176,61.81160206,64.56988308,58.58952809,60.30453875,62.37491977,56.83946742,58.54098156
3984.694,61.8087556,64.57136987,58.58817903,60.30592732,62.37922862,56.85124764,58.54502557
3984.212,61.80590927,64.5728567,58.58683001,60.30592732,62.38210136,56.86303029,58.54772173
3983.73,61.80448615,64.57434356,58.58548101,60.30731594,62.38353778,56.87350582,58.5517662
3983.248,61.80448615,64.57583046,58.58548101,60.30731594,62.38641071,56.88529308,58.55715927
3982.766,61.80733242,64.57731739,58.58952809,60.30870458,62.38784723,56.89446265,58.56255283
3982.284,61.81302535,64.57880435,58.59762309,60.31148196,62.39072036,56.90232345,58.5706441
3981.802,61.8187188,64.58177839,58.60976769,60.31425947,62.39503031,56.90887495,58.5787365
3981.32,61.82725996,64.58475256,58.62596441,60.31842598,62.40077737,56.91411669,58.58817903
3980.837,61.83722614,64.58921407,58.6435159,60.32537079,62.40796193,56.92066955,58.59627385
3980.355,61.84576986,64.59516323,58.66107265,60.33509488,62.41658451,56.92591238,58.60571921
3979.873,61.85431476,64.60260045,58.67728354,60.34621004,62.42664568,56.9324666,58.61246683
3979.391,61.86286084,64.61003853,58.69214746,60.35871704,62.43958387,56.94164376,58.620565
3978.909,61.86998347,64.61896535,58.70295995,60.37122663,62.45396277,56.95082241,58.62866429
3978.427,61.87853172,64.6308697,58.71107062,60.38373882,62.46834498,56.96262571,58.6367647
3977.945,61.88565616,64.64426471,58.71918242,60.39764429,62.485608,56.97574335,58.64756699
3977.463,61.89420657,64.6576625,58.7259431,60.41016195,62.5028758,56.99017624,58.66107265
3976.98,61.90133281,64.67106307,58.73270456,60.42129094,62.51870881,57.00330022,58.67458141
3976.498,61.9070344,64.68148766,58.73946681,60.43103048,62.53310593,57.01380159,58.69079604
3976.016,61.90988539,64.69191392,58.74622983,60.43937992,62.54462601,57.02430488,58.70566338
3975.534,61.91273651,64.69936228,58.75299363,60.4477305,62.55470783,57.03481012,58.7218866
3975.052,61.91558776,64.7068115,58.7597582,60.45608224,62.56191012,57.04400378,58.7381143
3974.57,61.91986488,64.71426157,58.76652356,60.46304291,62.56911324,57.05582639,58.75434648
3974.088,61.92699408,64.7232028,58.7732897,60.47278918,62.57487634,57.06765144,58.77193641
3973.606,61.93697634,64.73214526,58.78141009,60.48114438,62.579199,57.08210762,58.7868243
3973.124,61.94981303,64.74108895,58.79088529,60.48950074,62.58352197,57.09525277,58.79900812
3972.641,61.96550594,64.74854297,58.80171597,60.49785825,62.58640412,57.107086,58.80713206
3972.159,61.97834855,64.7530158,58.81390287,60.50343057,62.58928639,57.11629132,58.80848616
